,amount,coin,network,status,address,addressTag,txId,insertTime,transferType,confirmTimes,unlockConfirm,walletType,id,transactionFee,applyTime,info,confirmNo,txKey,account,exchange
0,72794.98,XLM,XLM,1,GAHK7EEG2WWHVKDNT4CEQFZGKF2LGDSW2IVM4S5DP42RBW3K6BTODB4A,1061941801,Internal transfer 106561603995,1652486641000.0,1,1/1,0.0,0,,,,,,,10012,binance
1,0.567084,BTC,BTC,1,19SK9LWSXLdmwPxvjPgvUrdaPhaPS6LaNu,,2b309d8e5508224d50169d52b4840909a8c41492d9017500790843d22829b062,1652456813000.0,0,1/1,2.0,0,,,,,,,10012,binance
2,261192.106674,USDT,TRX,1,TKt8ayzQe4UgGrh3ezSBncjsdbMAgH7QWc,,d3dcf69a7b6a8debeb285addaaac935e9983cf9e5854f676665fd37b5af2d0de,1652429323000.0,0,1/1,0.0,0,,,,,,,10012,binance
3,164368.498,USDT,TRX,1,TKt8ayzQe4UgGrh3ezSBncjsdbMAgH7QWc,,876184d5147cd304819d17a51fc18e33db0657f5599f741955b471e6c429eac0,1652428257000.0,0,1/1,0.0,0,,,,,,,10012,binance
4,57.38624614,BTC,BTC,1,19SK9LWSXLdmwPxvjPgvUrdaPhaPS6LaNu,,161c7dad47cd74755ef80972986e8fabc7c9e9e51b43b4056a3b918d72e2e203,1652421161000.0,0,1/1,2.0,0,,,,,,,10012,binance
5,31.3166305,BTC,BTC,1,19SK9LWSXLdmwPxvjPgvUrdaPhaPS6LaNu,,e9f3be6c295b2448d156442d3c5cc6a8b80913cf5d399dfa2e3d27b1db5dc899,1652410233000.0,0,1/1,2.0,0,,,,,,,10012,binance
6,23.25803388,ETH,ETH,1,0x5d6fcf22aa4e4ff8da0abe329392e7c5306d22f3,,0x145aee42b84cd8cba7272ba6de78ff469a70cc4f8ea5e4f2dde064be7f620b06,1652409993000.0,0,12/12,0.0,0,,,,,,,10012,binance
7,9147014.070072,UST,LUNA,1,terra1ncjg4a59x2pgvqy9qjyqprlj8lrwshm0wleht5,102585224,3C263DE05417D48CAC57D99F5D4C5E56746D19DEB6BB99B441228C1EA297CA3E,1652405342000.0,0,1/1,0.0,0,,,,,,,10012,binance
8,30,ETH,ETH,1,0x5d6fcf22aa4e4ff8da0abe329392e7c5306d22f3,,0x053d9d0dbb611187c18e64e8b20001034d7ec9cfd142c4d05ed484a0366b2f7d,1652259634000.0,0,12/12,0.0,0,,,,,,,10012,binance
9,42070.770719,XRP,XRP,1,rEb8TK3gBgk5auZkwc6sHnwrGVJH8DuaLh,105711647,D6FA424DA772BD506CC7D2A316302486CE6F9302B44BB4D8BE63445216771A86,1652258904000.0,0,1/1,0.0,0,,,,,,,10012,binance
