,amount,coin,network,status,address,addressTag,txId,insertTime,transferType,confirmTimes,unlockConfirm,walletType,id,transactionFee,applyTime,info,confirmNo,txKey,account,exchange
10,74597.32873031,KLAY,KLAY,1,0x5d6fcf22aa4e4ff8da0abe329392e7c5306d22f3,,0xea2fcf19ded0732b3844144257072686b78ad83bb7eb6f9b2ce9b5f11f6414d8,1652258902000.0,0,1/1,0.0,0,,,,,,,10012,binance
11,46502.699046,USDT,ETH,1,0x5d6fcf22aa4e4ff8da0abe329392e7c5306d22f3,,0x839295750fea2fdfb2d438802bf7b5299e3c730a19f8aa716276111847d350e8,1652258792000.0,0,12/12,0.0,0,,,,,,,10012,binance
12,2000.67665,ATOM,ATOM,1,cosmos15v50ymp6n5dn73erkqtmq0u8adpl8d3ujv2e74,101230448,527C2E68BFFA2D820EACF9344FA1CD89653D0D9A3C58316FAD841C953C7B5836,1652258751000.0,0,10/10,15.0,0,,,,,,,10012,binance
13,413.16,ETH,ETH,1,0x5d6fcf22aa4e4ff8da0abe329392e7c5306d22f3,,0x275512c3aa3e8fb4d3b9920d897bfd18b40cde2d57dbec8007c3fc7d41224edb,1652255432000.0,0,12/12,0.0,0,,,,,,,10012,binance
14,502398.315199,USDT,ETH,1,0x5d6fcf22aa4e4ff8da0abe329392e7c5306d22f3,,0x6241f7b94347f7749e6d0a49f91ae7a4eee31df66eb900b4e9cb221fb6b76209,1652147791000.0,0,12/12,0.0,0,,,,,,,10012,binance
15,1300000,KLAY,KLAY,1,0x5d6fcf22aa4e4ff8da0abe329392e7c5306d22f3,,0x63bf29dbc7bcfeeb889c5dbc0f39cab2e9a64efa491dc9e77bbfd7bdbb3243c5,1652147006000.0,0,1/1,0.0,0,,,,,,,10012,binance
16,199295,XLM,XLM,6,GAJWYT5AIFS6LRUIDXGII4THBSW6DI3WLTULCDK63QN43L7DTSNENUNS,bc6bdca3b4b911ec,33cd8cbf9172d2ceca291d0d9522369887edf18768d8311357d587834a1e66de,,0,,,0,02ade3fc96374662b538d9346a281976,0.02,2022-05-14 00:22:37,GDHF3HIKWM5KJAVLZBSZWUFDOEOT7IBMY22UXG4QBE326O354INLPAND,1.0,,10012,binance
17,929.9601933,USDT,BSC,6,0x8dbe9c44a42050da44f075149c1ff49b18bcaf3f,,Internal transfer 106502665267,,1,,,0,33b1f0f8370b49f78321dcd15ef42bc0,0,2022-05-13 14:49:56,,,,10012,binance
18,425560.42222742,USDT,BSC,6,0x8dbe9c44a42050da44f075149c1ff49b18bcaf3f,,Internal transfer 106485937900,,1,,,0,650ab13d26ed4389affea378fcc26cff,0,2022-05-13 12:35:54,,,,10012,binance
19,19.31623708,BNB,BSC,6,0x8dbe9c44a42050da44f075149c1ff49b18bcaf3f,,Internal transfer 106450526173,,1,,,0,1b49c2353f1849bb8af7fd935bea3737,0,2022-05-13 06:52:22,,,,10012,binance
20,64.21628656,BTC,BSC,6,0x8dbe9c44a42050da44f075149c1ff49b18bcaf3f,,Internal transfer 106450334657,,1,,,0,5b6045566ddc4c3c8a16ced865fc64bc,0,2022-05-13 06:50:52,,,,10012,binance
21,42.73645435,BTC,BTC,6,38DHELMPRpYKZ2WBsbSSu2XpL1z6DCuxbA,,a4ce5db4b55eae3f9b8d2de9268cc04b4456a08a1f05e3b865bce0c7b2b48370,,0,,,0,d19c3852aecd4167ac67c351cd2330f6,0.0002,2022-05-13 03:45:10,bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h,20.0,,10012,binance
22,60021.98,XLM,XLM,6,GAJWYT5AIFS6LRUIDXGII4THBSW6DI3WLTULCDK63QN43L7DTSNENUNS,bc6bdca3b4b911ec,084e55825c38c541fab9071289651256e7d947929b1b188a51356ccb7cf9df1a,,0,,,0,87b3062010d54545866d9a57e1f114f3,0.02,2022-05-13 03:38:20,GC5LF63GRVIT5ZXXCXLPI3RX2YXKJQFZVBSAO6AUELN3YIMSWPD6Z6FH,1.0,,10012,binance
23,20,ETH,ETH,6,0xB0B3ffea3090e1430f48A74628517c3bC6243d61,,0x73205adb9f5fd59e882692bafd813543204347b1e00e1b8bee12e18408fb44d1,,0,,,0,ad88ca41567c4182a1ffb6f060b0815e,0.0016,2022-05-13 02:26:02,0x28c6c06298d514db089934071355e5743bf21d60,30.0,,10012,binance
24,150,BUSD,BSC,6,0x737aca2f9ef4384d0ff589f62b5e9569f93c2012,,Internal transfer 106386518725,,1,,,0,89ef6bcb675747648d0e604a041e2689,0,2022-05-12 23:04:21,,,,10012,binance
25,2,ETH,ETH,6,0xa54316f6B75040B3e254b6e21508d23d4F5e0E3e,,0x2d64a18f6926b26d5345de282750b1057b7ab979c4d1df8c754c702d75573e26,,0,,,0,f3e95eed6c554f40a3e2ca9a55438232,0.0016,2022-05-12 14:01:57,0x21a31ee1afc51d94c2efccaa2092ad1028285549,30.0,,10012,binance
26,3113938,UST,LUNA,6,terra174evzq0tnd0uvzkkrvg08n9geqpcsvdrychcm8,,E3870256B2380367A55367C32672C8619722A1EA395730F442C2E34B5D0853C1,,0,,,0,66f50b5baaee4b8e992de2e185e6a98a,1,2022-05-11 09:11:52,terra1p0vl4s4gp46vy6dm352s2fgtw6hccypph7zc3u,30.0,,10012,binance
27,1137037,UST,LUNA,6,terra174evzq0tnd0uvzkkrvg08n9geqpcsvdrychcm8,,63494F2F405F9453AE0EADA4D0F2BA12F48D487DA72688FAD537F8D9C0401C1A,,0,,,0,93dcdadd32c64140aa599a58c617a0b4,1,2022-05-10 02:17:24,terra1hhj92twle9x8rjkr3yffujexsy5ldexak5rglz,30.0,,10012,binance
28,27.44,USDT,TRX,6,TDAtEC9DJVnRGFZrqzBvc4CkMsAo4ogAij,,Internal transfer 105387310963,,1,,,0,d599401525cc4845bd7e76f62a8e61a7,0,2022-05-07 08:09:13,,,,10012,binance
29,150,USDT,TRX,6,TDAtEC9DJVnRGFZrqzBvc4CkMsAo4ogAij,,Internal transfer 105168030332,,1,,,0,6ce7a1e6a3e049d99b02a94af6d12d36,0,2022-05-05 05:20:24,,,,10012,binance
