,id,coin,size,time,notes,status,proposedTransferId,txid,address,fee,sentTime,confirmedTime,confirmations,method,account,exchange
0,33745171,ETH,199.997,2022-05-11T03:49:56.145258+00:00,Internal FTX transfer to 0x07d2CA9C293Ab96a6873BcF0815Df34135643Abd,complete,,,,,,,,,10000,ftx
1,20475748,ETH,199.997,2022-05-11T03:41:19.432757+00:00,,confirmed,,0x79b2741320297b8d3432faeed93ba670464284e171d9af95db1918162f68c3c4,"{'address': '0x15C90634eD89723e96c852981174E55Ef2972C94', 'tag': None, 'method': 'eth', 'coin': None}",0.0,2022-05-11T03:40:43+00:00,2022-05-11T03:43:20.516842+00:00,10.0,eth,10000,ftx
