,id,coin,address,tag,method,txid,size,fee,status,time,notes,destinationName,sentTime,confirmedTime,confirmations,account,exchange
0,20679193,BTC,38DHELMPRpYKZ2WBsbSSu2XpL1z6DCuxbA,,btc,f7e928752abcae5672b8f6c959b2cfc43146e7742c55cb37bd6ea823fbdc5484,0.01004748,0.0,complete,2022-05-14T01:20:23.538132+00:00,,,,,,10003,ftx
1,20679114,ETH,0x65f50dbae9d1d1f494df5c412a2b2841cf8e0a07,,eth,0x4d7ce88a14789af1c447a73fa1be31d1be6c57f2b56c408b00a3fb3456167e51,0.0980664,0.0005,complete,2022-05-14T01:18:16.916958+00:00,,GDAC,,,,10003,ftx
2,20678221,ETH,0x65f50dbae9d1d1f494df5c412a2b2841cf8e0a07,,eth,0x188760d6ba4f17a39ba7bcb88b058a537aa028068d43fca6cc548aa25b25cb86,0.21003584,0.0005,complete,2022-05-14T00:54:05.466602+00:00,,GDAC,,,,10003,ftx
3,20622247,USDT,TKt8ayzQe4UgGrh3ezSBncjsdbMAgH7QWc,,trx,d3dcf69a7b6a8debeb285addaaac935e9983cf9e5854f676665fd37b5af2d0de,261192.10667464,0.0,complete,2022-05-13T08:05:36.633725+00:00,,,,,,10003,ftx
4,20612641,BTC,38DHELMPRpYKZ2WBsbSSu2XpL1z6DCuxbA,,btc,6e67ef5765418fbde816fdc4874f934242fa135178fd780ea0873ad037db7e8a,1.0,0.0,complete,2022-05-13T04:53:47.785376+00:00,,,,,,10003,ftx
5,20609170,USDT,0x5b8527de9cb1b10f0eba3ae830a94375fb29586e,,erc20,0x38b95aa848d729ab6576d46f18161587cde586e7ef24d8a9f73cbf5ffa27a911,44800.73758036,5.0,complete,2022-05-13T03:35:13.874248+00:00,,GDAC,,,,10003,ftx
6,20608771,ETH,0x65f50dbae9d1d1f494df5c412a2b2841cf8e0a07,,eth,0xd6e71e3f524a4a8b73d4afb1822af98b2f458e7144c8d19089b0e65dd6fef253,0.45790632,0.001,complete,2022-05-13T03:25:53.084639+00:00,,GDAC,,,,10003,ftx
7,20608659,XRP,rfD4oqVbGNEkrtkWS39Epo1t5DH42KMSwp,6449,xrp,151841D532FEB6FC4067E287BC9BE32581A5094AA41E31A7EFC05FBC93CE9C4C,25312.312281,0.0,complete,2022-05-13T03:23:35.617486+00:00,,GDAC,,,,10003,ftx
8,20607179,ATOM,cosmos1wspfe58g5x8jucy5jwmct4rk38eg880n7wdu0k,,cosmos,3C2B4A339B541AAD5B59895C72A9BF918FB5743AA80A78A293762A35F86FBE12,1.0,0.0,complete,2022-05-13T02:51:19.481410+00:00,,peertec,,,,10003,ftx
9,20322428,NEAR,a73d035fb71c0055fc1da5402e0c25a24f4f666adc16026dae741d9441d64d29,,near,Az8Gf9k97Tp53vhJYG7AcYF16wvNtLjpDDXMHbUAF4sR,3870.0,0.0,complete,2022-05-10T04:53:06.254117+00:00,,fotze,,,,10003,ftx
10,20242619,TRX,TKqUVHFV4ayYZR138m2BiVPktn9XZXLZ7W,,trx,1d8e72f48364297555bc9e1937367511b4c76b552dc35e6df08d458306b8dcd2,2348576.1556,0.0,complete,2022-05-09T04:47:15.925594+00:00,,,,,,10003,ftx
11,20236066,TRX,TKqUVHFV4ayYZR138m2BiVPktn9XZXLZ7W,,trx,eef70266a964b8be88d89f0f711f761b04c3e20345e6441437df9f808b735b83,2368062.6348,0.0,complete,2022-05-09T01:50:45.622884+00:00,,,,,,10003,ftx
12,20235055,TRX,TKqUVHFV4ayYZR138m2BiVPktn9XZXLZ7W,,trx,b1a2cfd1fd9675a1d6a0e143fe3d9baaa17e544c18dbe190c62e752f1dbaf07d,589235.6226,0.0,complete,2022-05-09T01:19:26.223300+00:00,,,,,,10003,ftx
13,20124990,ETH,0x65f50dbae9d1d1f494df5c412a2b2841cf8e0a07,,eth,0xf89417c806c974ff0563ab2647b80e7b4975087c95ecced987651f69c9e78edf,1.65868935,0.0005,complete,2022-05-07T01:00:25.761716+00:00,,GDAC,,,,10003,ftx
14,20073164,MATIC,0x81251D5047F57Bb6158D39B72aE1bf92FaF26261,,matic,0x5e3507a3e1ffb0ee7e91538a467a8096d853f0dbbb9d37a6d83c7f18d9726b14,468076.671,0.0,complete,2022-05-06T04:20:05.777911+00:00,,,,,,10003,ftx
