,id,coin,address,tag,method,txid,size,fee,status,time,notes,destinationName,sentTime,confirmedTime,confirmations,account,exchange
0,20312709,USDC,6xwXcyxYkEzUxQPc8kJYa5RorGN7kJXrWufSRALA35wu,,sol,4NomQB73XTGfpR4xkMpS6MQWsmJPbZRFdr4GJTyi25Wa2j6EQN8NjJVfEXWGbEFHBApa6txDPcQU2fyveSYQHQSF,400000.0,0.0,complete,2022-05-10T01:42:44.632704+00:00,,,,,,10025,ftx
1,20236811,USDC,0xbA85793220727e998fec66Dd8f6e68eCC8790696,,erc20,0xbde59a57d3a794bb09885aac6b4da5e048e7c9e284ac3ffb131b81bfee1b896a,6154432.67,0.0,complete,2022-05-09T02:13:37.316432+00:00,,,,,,10025,ftx
2,20066308,UST,terra174evzq0tnd0uvzkkrvg08n9geqpcsvdrychcm8,,terra,6698C9C5289565FBFEAF575A48C7C5D404F57DBC54F4C8446EB13BCC8907FF2F,700000.0,0.0,complete,2022-05-06T00:33:05.195472+00:00,,,,,,10025,ftx
3,34218531,SRM_LOCKED,,,,,9.54,,complete,2022-05-13T22:56:27.264880+00:00,SRM Airdrop for FTT holdings,,,,,10025,ftx
4,20472872,ETH,"{'address': '0xd16eEBDb4F8804b66AB4b2c536917154d9a47E82', 'tag': None, 'method': 'eth', 'coin': None}",,eth,0xd82136432629a7cab8dfd3647efd2fae09a801a7fb7138d767231700c08cf095,259.328,0.0,confirmed,2022-05-11T02:41:12.985558+00:00,,,2022-05-11T02:40:07+00:00,2022-05-11T02:43:14.350770+00:00,11.0,10025,ftx
5,20470086,UST,"{'address': 'terra1luagdjcr9c9yvp3ak4d7chjm5gldcmgln5rku5', 'tag': '1273090217', 'method': 'terra', 'coin': None}",,terra,8ea245015e46b6f751c0411c1b3ab6a77f7e3f35325a99c929333d041533dadc,8000000.0,0.0,confirmed,2022-05-11T01:50:55.542456+00:00,,,2022-05-11T01:50:55.560994+00:00,2022-05-11T01:52:56.142934+00:00,3.0,10025,ftx
6,20385010,UST,"{'address': 'terra1luagdjcr9c9yvp3ak4d7chjm5gldcmgln5rku5', 'tag': '1273090217', 'method': 'terra', 'coin': None}",,terra,23eed29aa4b6dacb66f3e4aeb58f995a0dd7d03ea3d71215bf19c47a11be7f16,5000000.0,0.0,confirmed,2022-05-10T03:37:37.032303+00:00,,,2022-05-10T03:37:37.052063+00:00,2022-05-10T03:39:37.599026+00:00,3.0,10025,ftx
7,20371692,UST,"{'address': 'terra1luagdjcr9c9yvp3ak4d7chjm5gldcmgln5rku5', 'tag': '1273090217', 'method': 'terra', 'coin': None}",,terra,a536deb94ce6c3758554dea249c6b26782cd0aea7feb41ca9439a1cb4204dd09,5000000.0,0.0,confirmed,2022-05-10T00:00:00.860180+00:00,,,2022-05-10T00:00:00.898342+00:00,2022-05-10T00:02:01.572967+00:00,3.0,10025,ftx
8,20293799,USDC,"{'address': '2Pk7JmGveB1kzXJpF3jBgzXaXRVnfb2oSJAyg3kzWzAG', 'tag': None, 'method': 'sol', 'coin': 'USDC'}",,sol,2PtZ1qrXAGpC3B44UUqnXxdihUFz29SpUxFj8BkZndhLBYkkFRfweEKen1dkXKdtPeMgKsHa1SeNXwPYyN5srbCs,3300000.0,0.0,confirmed,2022-05-09T02:06:34.538190+00:00,,,2022-05-09T02:06:34.566496+00:00,2022-05-09T02:06:36.321368+00:00,115.0,10025,ftx
9,20293389,USDC,"{'address': '2Pk7JmGveB1kzXJpF3jBgzXaXRVnfb2oSJAyg3kzWzAG', 'tag': None, 'method': 'sol', 'coin': 'USDC'}",,sol,2RApysmpGcrnno2dfT58HV4XDrqLipFmNLVc2z1cf7r5jht5Lr7xprkir45rMgAC4BC4tSDzAQi5rPAafmwYL6tV,3500000.0,0.0,confirmed,2022-05-09T01:58:59.963471+00:00,,,2022-05-09T01:58:59.991115+00:00,2022-05-09T01:59:00.955993+00:00,28.0,10025,ftx
10,20117131,UST,"{'address': 'terra1luagdjcr9c9yvp3ak4d7chjm5gldcmgln5rku5', 'tag': '1273090217', 'method': 'terra', 'coin': None}",,terra,25ac94a22a277d40b14c1205c6228b4d4d92b07b25c6725d29ba1055d16f80f7,2000000.0,0.0,confirmed,2022-05-06T00:26:25.875392+00:00,,,2022-05-06T00:26:25.886724+00:00,2022-05-06T00:28:26.732257+00:00,3.0,10025,ftx
11,33029951,SRM_LOCKED,,,,,9.54,,complete,2022-05-02T23:38:39.622994+00:00,SRM Airdrop for FTT holdings,,,,,10025,ftx
